臺灣 Taiwan,#genre#
AXN,https://haoyunlai.serv00.net/Smartv-1.php?id=axn_twn
CINEMAX,https://haoyunlai.serv00.net/Smartv-1.php?id=cinemax_twn
EYE戲劇,https://haoyunlai.serv00.net/Smartv-1.php?id=eyetvxiju_twn
EYE旅遊,https://haoyunlai.serv00.net/Smartv-1.php?id=eyetvtravel_twn
HBO,https://haoyunlai.serv00.net/Smartv-1.php?id=hbohd_twn
HBO Family,https://haoyunlai.serv00.net/Smartv-1.php?id=fyi_twn
好萊塢電影台,https://haoyunlai.serv00.net/Smartv-1.php?id=hollywoodmovies_twn
MTV Live,https://haoyunlai.serv00.net/Smartv-1.php?id=mtvhd_twn
TLC旅遊生活,https://haoyunlai.serv00.net/Smartv-1.php?id=tlc_twn
東森新聞,https://haoyunlai.serv00.net/Smartv-1.php?id=ettvnews
TVBS HD,https://haoyunlai.serv00.net/Smartv-1.php?id=tvbs
TVBS新聞台,https://haoyunlai.serv00.net/Smartv-1.php?id=tvbs_n
TVBS歡樂台,https://haoyunlai.serv00.net/Smartv-1.php?id=tvbshuanle_twn
三立台灣台,https://haoyunlai.serv00.net/Smartv-1.php?id=sanlitaiwan
三立戲劇台,https://haoyunlai.serv00.net/Smartv-1.php?id=sanlixiju_twn
三立綜合台,https://haoyunlai.serv00.net/Smartv-1.php?id=sanlizhonghe
中天亞洲台,https://haoyunlai.serv00.net/Smartv-1.php?id=ctiasia_twn
中天娱樂,https://haoyunlai.serv00.net/Smartv-1.php?id=ctient
中天新聞HD,https://haoyunlai.serv00.net/Smartv-1.php?id=ctinews
中天綜合,https://haoyunlai.serv00.net/Smartv-1.php?id=ctizhonghe
亞洲旅遊台,https://haoyunlai.serv00.net/Smartv-1.php?id=asiatravel_twn
亞洲美食,https://haoyunlai.serv00.net/Smartv-1.php?id=afc_twn
八大戲劇,https://haoyunlai.serv00.net/Smartv-1.php?id=badadrama
八大第一,https://haoyunlai.serv00.net/Smartv-1.php?id=badafirst
八大綜合,https://haoyunlai.serv00.net/Smartv-1.php?id=badazhonghe
公視,https://haoyunlai.serv00.net/Smartv-1.php?id=ctv_taiwan
民視,https://haoyunlai.serv00.net/Smartv-1.php?id=ftvhd_taiwan
民視第一台,https://haoyunlai.serv00.net/Smartv-1.php?id=lunghuajingdian_twn
民視台灣台,https://haoyunlai.serv00.net/Smartv-1.php?id=ftvtaiwan_twn
民視新聞台,https://haoyunlai.serv00.net/Smartv-1.php?id=ftvnew_taiwan
台視,https://haoyunlai.serv00.net/Smartv-1.php?id=ttv_taiwan	
台視新聞台,https://haoyunlai.serv00.net/Smartv-1.php?id=ttvnews_twn
中視,https://haoyunlai.serv00.net/Smartv-1.php?id=zhongshihd_twn
