litv影視,#genre#
parse=1
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36

4民視第一台,https://www.litv.tv/channel/watch/4gtv-4gtv003
5民視台灣台,https://www.litv.tv/channel/watch/4gtv-4gtv001
6民視,https://www.litv.tv/channel/watch/4gtv-4gtv155
7綜藝大集合,https://www.litv.tv/channel/watch/litv-vchannel7
8台視,https://www.litv.tv/channel/watch/4gtv-4gtv066
9包青天1993版,https://www.litv.tv/channel/watch/litv-vchannel9
10中視,https://www.litv.tv/channel/watch/4gtv-4gtv040
11天才衝衝衝精選,https://www.litv.tv/channel/watch/litv-vchannel11
12華視,https://www.litv.tv/channel/watch/4gtv-4gtv041
13公視戲劇,https://www.litv.tv/channel/watch/4gtv-4gtv042
14向風而行,https://www.litv.tv/channel/watch/litv-vchannel14
15好消息,https://www.litv.tv/channel/watch/litv-ftv16
16空中英語教室頻道,https://www.litv.tv/channel/watch/litv-playout955
17哆啦Ａ夢台,https://www.litv.tv/channel/watch/litv-vchannel17
18全民星攻略,https://www.litv.tv/channel/watch/litv-vchannel18
19黃阿瑪的後宮生活,https://www.litv.tv/channel/watch/litv-vchannel19
20食尚玩家-來去住一晚,https://www.litv.tv/channel/watch/litv-vchannel20
21最強綜藝秀,https://www.litv.tv/channel/watch/litv-vchannel21
22去有風的地方,https://www.litv.tv/channel/watch/litv-vchannel22
23台灣1001個故事,https://www.litv.tv/channel/watch/litv-vchannel23
25台灣啟示錄,https://www.litv.tv/channel/watch/litv-vchannel25
26WTO姐妹會,https://www.litv.tv/channel/watch/litv-vchannel26
27民視綜藝台,https://www.litv.tv/channel/watch/4gtv-4gtv004
28世界第一等,https://www.litv.tv/channel/watch/litv-vchannel28
29綜藝玩很大,https://www.litv.tv/channel/watch/litv-vchannel29
30詹姆士出走料理,https://www.litv.tv/channel/watch/litv-vchannel30
31Focus歡樂綜合台,https://www.litv.tv/channel/watch/litv-playout952
32東森娛樂台,https://www.litv.tv/channel/watch/litv-vchannel32
33健康2.0,https://www.litv.tv/channel/watch/litv-vchannel33
34亞洲旅遊台,https://www.litv.tv/channel/watch/litv-longturn17
35琅琊榜,https://www.litv.tv/channel/watch/litv-vchannel35
36中天亞洲台,https://www.litv.tv/channel/watch/4gtv-4gtv109
37小明星大跟班,https://www.litv.tv/channel/watch/litv-vchannel37
39龍華戲劇台,https://www.litv.tv/channel/watch/litv-longturn18
40TVBS精采台,https://www.litv.tv/channel/watch/4gtv-4gtv067
41三十而已,https://www.litv.tv/channel/watch/litv-vchannel41
42TVBS歡樂台,https://www.litv.tv/channel/watch/4gtv-4gtv068
43東森購物1台,https://www.litv.tv/channel/watch/4gtv-4gtv102
44民視影劇台,https://www.litv.tv/channel/watch/litv-ftv09
45龍華偶像台,https://www.litv.tv/channel/watch/litv-longturn12
46龍華日韓台,https://www.litv.tv/channel/watch/litv-longturn11
47Yes娛樂,https://www.litv.tv/channel/watch/litv-vchannel47
48Focus風采戲劇台,https://www.litv.tv/channel/watch/litv-playout951
49東森購物2台,https://www.litv.tv/channel/watch/4gtv-4gtv103
50掏掏新聞,https://www.litv.tv/channel/watch/litv-playout50
51東森新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv152
52華視新聞,https://www.litv.tv/channel/watch/4gtv-4gtv052
53民視新聞台,https://www.litv.tv/channel/watch/litv-ftv13
54三立新聞iNEWS,https://www.litv.tv/channel/watch/iNEWS
55TVBS新聞,https://www.litv.tv/channel/watch/4gtv-4gtv072
56TVBS,https://www.litv.tv/channel/watch/4gtv-4gtv073
57東森財經新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv153
58非凡新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv010
59台視新聞,https://www.litv.tv/channel/watch/4gtv-4gtv051
60中視新聞,https://www.litv.tv/channel/watch/4gtv-4gtv074
61中天新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv009
62寰宇新聞台灣台,https://www.litv.tv/channel/watch/litv-longturn15
63寰宇新聞台,https://www.litv.tv/channel/watch/litv-longturn14
64龍華經典台,https://www.litv.tv/channel/watch/litv-longturn21
65FOCUS焦點電影台,https://www.litv.tv/channel/watch/litv-vchannel65
66媽媽好神之俗女家務事,https://www.litv.tv/channel/watch/litv-vchannel66
67楚喬傳,https://www.litv.tv/channel/watch/litv-vchannel67
68影迷數位電影台,https://www.litv.tv/channel/watch/4gtv-4gtv011
69CATCHPLAY電影台,https://www.litv.tv/channel/watch/4gtv-4gtv076
70Golden Movies,https://www.litv.tv/channel/watch/litv-vchannel70
71龍華電影台,https://www.litv.tv/channel/watch/litv-longturn03
72靖天電影台,https://www.litv.tv/channel/watch/4gtv-4gtv061
73靖天映畫,https://www.litv.tv/channel/watch/4gtv-4gtv055
74芈月傳,https://www.litv.tv/channel/watch/litv-vchannel74
75Golden影迷台,https://www.litv.tv/channel/watch/litv-vchannel75
76中影電影院,https://www.litv.tv/channel/watch/litv-vchannel76
77博斯高球台,https://www.litv.tv/channel/watch/litv-longturn05
78博斯高球二台,https://www.litv.tv/channel/watch/litv-longturn06
79博斯運動一台,https://www.litv.tv/channel/watch/litv-longturn07
80博斯無限台,https://www.litv.tv/channel/watch/litv-longturn10
81博斯網球台,https://www.litv.tv/channel/watch/litv-longturn09
82博斯運動二台,https://www.litv.tv/channel/watch/litv-longturn08
83博斯魅力台,https://www.litv.tv/channel/watch/litv-longturn04
84博斯無限二台,https://www.litv.tv/channel/watch/litv-longturn13
85綜藝新時代,https://www.litv.tv/channel/watch/litv-vchannel85
86贅婿,https://www.litv.tv/channel/watch/litv-vchannel86
87東森購物快閃台,https://www.litv.tv/channel/watch/litv-vchannel87
88第1財經,https://www.litv.tv/channel/watch/litv-vchannel88
89非凡商業台,https://www.litv.tv/channel/watch/4gtv-4gtv048
90台視財經,https://www.litv.tv/channel/watch/4gtv-4gtv056
91寰宇財經台,https://www.litv.tv/channel/watch/litv-longturn23
92法眼黑與白,https://www.litv.tv/channel/watch/litv-vchannel92
93以愛為營,https://www.litv.tv/channel/watch/litv-vchannel93
94豬哥壹級棒,https://www.litv.tv/channel/watch/litv-vchannel94
95食尚玩家-熱血48小時,https://www.litv.tv/channel/watch/litv-vchannel95
96一字千金(6~8季),https://www.litv.tv/channel/watch/litv-vchannel96
97一字千金(1~5季),https://www.litv.tv/channel/watch/litv-vchannel97
98我們這一家,https://www.litv.tv/channel/watch/litv-vchannel98
99銀髮聚樂部,https://www.litv.tv/channel/watch/litv-vchannel99
100蠟筆小新台,https://www.litv.tv/channel/watch/litv-vchannel100
101南風知我意,https://www.litv.tv/channel/watch/litv-vchannel101
102豬哥亮歌廳秀,https://www.litv.tv/channel/watch/4gtv-4gtv006
103我們的翻譯官,https://www.litv.tv/channel/watch/litv-vchannel103
104青囊傳,https://www.litv.tv/channel/watch/litv-vchannel104
105流光之下,https://www.litv.tv/channel/watch/litv-vchannel105
106愛的厘米,https://www.litv.tv/channel/watch/litv-vchannel106
107粉紅色口紅,https://www.litv.tv/channel/watch/litv-vchannel107
10819層,https://www.litv.tv/channel/watch/litv-vchannel108
109金庸武俠台,https://www.litv.tv/channel/watch/litv-vchannel109
110倚天屠龍記2019,https://www.litv.tv/channel/watch/litv-vchannel110
111紳士與小姐(國語配音),https://www.litv.tv/channel/watch/litv-vchannel111
